sample_id,method,Series,Known_Pb_ppm,FP_value_ppm,FP_value_err_ppm,Pb_La1_cps,Pb_La1_err,Pb_Lb1_cps,Pb_Lb1_err,Pb_Lb2_cps,Pb_Lb2_err,Pb_Lb3_cps,Pb_Lb3_err,Pb_Lb4_cps,Pb_Lb4_err
PBP01_pellet_A,pellet,PBP01,100,392,4.9,256.261,3.183,189.861,2.358,89.377,1.11,24.438,0.303,18.398,0.228
PBP01_pellet_B,pellet,PBP01,100,386,5.2,239.671,3.212,177.77,2.383,83.684,1.122,22.883,0.307,17.224,0.231
PBP01_pellet_C,pellet,PBP01,100,367,4.8,248.048,3.226,184.19,2.396,86.705,1.128,23.711,0.308,17.844,0.232
PBP02_pellet_A,pellet,PBP02,500,1750,10,1062.05,5.181,785.212,3.83,369.737,1.804,101.05,0.493,76.111,0.371
PBP02_pellet_B,pellet,PBP02,500,1710.0000000000002,10,1080.461,5.19,799.373,3.84,376.399,1.808,102.877,0.494,77.477,0.372
PBP02_pellet_C,pellet,PBP02,500,1780,10,1133.865,5.205,835.992,3.838,393.687,1.807,107.562,0.494,81.063,0.372
PBP03_pellet_A,pellet,PBP03,1000,3140,10,2007.083,6.55,1469.182,4.794,692.189,2.259,188.921,0.617,142.603,0.465
PBP03_pellet_B,pellet,PBP03,1000,3020,10,2001.846,6.627,1477.232,4.89,695.723,2.303,190.075,0.629,143.228,0.474
PBP03_pellet_C,pellet,PBP03,1000,3060,10,2058.211,6.715,1514.287,4.94,713.272,2.327,194.802,0.636,146.875,0.479
PBP04_pellet_A,pellet,PBP04,0,36,3.9,22.361,2.425,16.587,1.799,7.808,0.847,0.436,0.047,1.607,0.174
PBP04_pellet_B,pellet,PBP04,0,38,3.2,27.493,2.327,20.535,1.738,9.666,0.818,2.645,0.224,1.988,0.168
PBP04_pellet_C,pellet,PBP04,0,29,3.4,20.193,2.359,15.011,1.753,7.066,0.825,1.933,0.226,1.454,0.17
PBP01_powder_1,powder,PBP01,100,162,4.3,117.592,3.094,87.53,2.303,41.202,1.084,11.27,0.297,8.477,0.223
PBP01_powder_2,powder,PBP01,100,184,4.2,134.755,3.108,100.245,2.312,47.187,1.088,12.907,0.298,9.709,0.224
PBP01_powder_3,powder,PBP01,100,138,4.3,97.488,3.059,72.482,2.275,34.119,1.071,9.332,0.293,7.021,0.22
PBP02_powder_1,powder,PBP02,500,920,10,534.873,4.813,396.97,3.572,186.892,1.682,51.102,0.46,38.458,0.346
PBP02_powder_2,powder,PBP02,500,869.9999999999999,10,519.175,4.709,384.871,3.491,181.193,1.644,49.542,0.449,37.29,0.338
PBP02_powder_3,powder,PBP02,500,930,10,553.264,4.848,409.305,3.592,192.983,1.691,52.762,0.462,39.718,0.348
PBP03_powder_1,powder,PBP03,1000,1170,10,665.617,5.052,492.38,3.749,231.822,1.765,63.383,0.483,47.704,0.363
PBP03_powder_2,powder,PBP03,1000,1200,10,678.617,4.984,502.398,3.69,236.542,1.737,64.662,0.475,48.688,0.358
PBP03_powder_3,powder,PBP03,1000,1100,10,654.224,4.992,484.751,3.699,228.228,1.741,62.394,0.476,46.973,0.358
PBP04_powder_1,powder,PBP04,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PBP04_powder_2,powder,PBP04,0,31,3.1,23.371,2.342,17.395,1.743,8.188,0.82,2.24,0.224,1.685,0.169
PBP04_powder_3,powder,PBP04,0,21,3,16.849,2.389,12.544,1.778,5.905,0.837,1.615,0.229,1.215,0.172
